"","items"
"108","{whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags}"
"109","{processed cheese}"
"110","{tropical fruit,pip fruit}"
"111","{frankfurter,sausage,root vegetables,other vegetables,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum,dishes}"
"112","{packaged fruit/vegetables,bottled water}"
"113","{whole milk,dessert,frozen vegetables,rolls/buns,margarine,bottled water,red/blush wine,newspapers}"
"114","{berries,whipped/sour cream}"
"115","{citrus fruit,berries,UHT-milk,processed cheese}"
"116","{tropical fruit,whole milk,yogurt}"
"117","{hamburger meat,whole milk,frozen vegetables,rolls/buns,bottled beer,sparkling wine}"
"118","{hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes}"
"119","{whole milk,cream cheese ,soda}"
"120","{fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags}"
"121","{frankfurter,sausage,long life bakery product,waffles}"
"122","{packaged fruit/vegetables,dessert,semi-finished bread,canned beer}"
"123","{pastry,soda}"
"124","{other vegetables,red/blush wine}"
"125","{misc. beverages}"
"126","{frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese ,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles}"
"127","{sparkling wine}"
"128","{specialty bar}"
"129","{sausage,butter milk,rolls/buns}"
"130","{curd cheese}"
"131","{frankfurter,dessert}"
"132","{whole milk,yogurt,beverages,brown bread,shopping bags}"
"133","{newspapers}"
"134","{berries,soda}"
"135","{curd,flour,liquor (appetizer)}"
"136","{tropical fruit,other vegetables,coffee}"
"137","{soda}"
"138","{rolls/buns,Instant food products}"
"139","{canned beer}"
"140","{canned beer}"
"141","{frankfurter,sausage,whole milk,rolls/buns,margarine}"
"142","{other vegetables,misc. beverages,canned beer}"
"143","{whole milk,frozen vegetables}"
"144","{whole milk}"
"145","{citrus fruit,butter,cream cheese ,white bread,oil,margarine,newspapers}"
"146","{frankfurter,rolls/buns}"
"147","{frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder}"
"148","{butter milk,yogurt,honey,soda,detergent}"
"149","{hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care}"
"150","{pasta,popcorn}"
"151","{other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags}"
"152","{sausage,pork,citrus fruit,dessert,white bread,dishes,candles}"
"153","{rolls/buns}"
"154","{grapes,other vegetables,curd,dessert,yogurt,napkins}"
"155","{root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer}"
"156","{coffee,shopping bags}"
"157","{popcorn}"
"158","{whole milk,rolls/buns,sugar,bottled water,soda}"
"159","{tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products}"
"160","{beef,herbs,flour,cling film/bags,flower soil/fertilizer}"
"161","{whole milk,butter,dessert,rolls/buns}"
"162","{frankfurter,soda,chewing gum}"
"163","{tropical fruit,specialty cheese,bottled water}"
"164","{canned beer}"
"165","{finished products,other vegetables,frozen vegetables,bottled beer}"
"166","{beverages,soda}"
"167","{hamburger meat,root vegetables,whole milk}"
"168","{whole milk,pastry,long life bakery product}"
"169","{finished products,white wine,shopping bags}"
"170","{other vegetables}"
"171","{ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer}"
"172","{other vegetables}"
"173","{curd,butter milk,cocoa drinks,salty snack,popcorn}"
"174","{bottled beer}"
"175","{curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags}"
"176","{whole milk,cream cheese ,cereals,dog food}"
"177","{whole milk,salt}"
"178","{dessert,ice cream}"
"179","{sausage,soft cheese,coffee}"
"180","{other vegetables,bottled water,waffles,dishes,shopping bags}"
"181","{ham,whole milk,rolls/buns}"
"182","{other vegetables,ice cream}"
"183","{other vegetables,bottled water}"
"184","{soda,bottled beer,white wine,prosecco}"
"185","{herbs,candy}"
"186","{frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese ,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles}"
"187","{rolls/buns,canned beer}"
"188","{curd,cream cheese ,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags}"
"189","{frankfurter,tropical fruit,whole milk,spread cheese,margarine,shopping bags}"
"190","{other vegetables}"
"191","{dog food}"
"192","{specialty bar}"
"193","{curd,salt,liquor (appetizer),detergent,shopping bags}"
"194","{frankfurter,rolls/buns}"
"195","{soda}"
"196","{beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread}"
"197","{canned beer}"
"198","{pork,beef,pip fruit,herbs,spices}"
"199","{frankfurter,citrus fruit,UHT-milk,margarine,sugar}"
"200","{sausage,bottled beer,liquor (appetizer)}"
"201","{canned beer}"
"202","{specialty chocolate}"
"203","{curd,rolls/buns}"
"204","{canned beer}"
"205","{whole milk,bottled water,newspapers}"
"206","{rolls/buns,chewing gum}"
"207","{pork,root vegetables,other vegetables,whole milk,dishes}"
"208","{citrus fruit,pastry}"
"209","{pot plants}"
"210","{rolls/buns,pastry,soda}"
"211","{butter,yogurt,bottled water,soda,make up remover,hygiene articles}"
"212","{condensed milk,sugar,coffee,shopping bags}"
"213","{sausage,other vegetables,yogurt,soda,shopping bags}"
"214","{whole milk,beverages,UHT-milk,soda}"
"215","{sausage,pork,beef,whole milk,rolls/buns,margarine}"
"216","{beverages}"
"217","{beverages,specialty bar}"
"218","{bottled water,fruit/vegetable juice}"
"219","{newspapers}"
"220","{cleaner,female sanitary products}"
"221","{sausage,soda,newspapers,shopping bags}"
"222","{newspapers}"
"223","{sausage,beef,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,beverages,hard cheese,rolls/buns,dish cleaner,cookware}"
"224","{misc. beverages,newspapers}"
"225","{white wine}"
"226","{sausage,sliced cheese,rolls/buns,soda,canned beer,shopping bags}"
"227","{meat,curd,bottled beer,cake bar}"
"228","{frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags}"
"229","{ice cream,rolls/buns,canned beer}"
"230","{canned beer}"
"231","{tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags}"
"232","{meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese ,rolls/buns,brown bread,tea,bottled water}"
"233","{whole milk,mustard,bottled water}"
"234","{sausage,beef,beverages,sliced cheese,rolls/buns,spices,house keeping products,flower (seeds)}"
"235","{frankfurter,sausage,root vegetables,butter,curd,sliced cheese,rolls/buns,salty snack,long life bakery product}"
"236","{meat,other vegetables,butter,rolls/buns}"
"237","{root vegetables,beverages,Instant food products,pickled vegetables,detergent}"
"238","{root vegetables,herbs,other vegetables,whole milk,sliced cheese,rolls/buns}"
"239","{whole milk,whipped/sour cream,semi-finished bread,margarine}"
"240","{citrus fruit,whole milk,curd,dessert,yogurt,whipped/sour cream,frozen dessert,rolls/buns,salt,sugar,cereals,canned vegetables,canned fish,skin care,hygiene articles,napkins}"
"241","{citrus fruit,curd,pastry,margarine,sugar,candy,newspapers}"
"242","{other vegetables,whole milk,bottled water,soda,misc. beverages,bottled beer,red/blush wine,napkins}"
"243","{citrus fruit,whole milk,rolls/buns}"
"244","{sausage,oil,hygiene articles,napkins}"
"245","{frankfurter,beef,hamburger meat,grapes,root vegetables,whole milk,butter,frozen dessert,potato products,bottled water,bottled beer}"
"246","{hard cheese,rolls/buns,bottled water,newspapers}"
"247","{cream cheese ,rolls/buns,soda,chocolate}"
"248","{turkey,beef,frozen vegetables,dishes,photo/film}"
"249","{pork,other vegetables,whipped/sour cream,rolls/buns,soda,shopping bags}"
"250","{whole milk,beverages}"
"251","{rolls/buns,soda}"
"252","{sausage,pip fruit,whole milk,curd,yogurt,sliced cheese,rolls/buns,bottled water,hygiene articles}"
"253","{ice cream}"
"254","{liquor}"
"255","{pip fruit,other vegetables,fruit/vegetable juice}"
"256","{root vegetables,other vegetables,yogurt}"
"257","{soda}"
"258","{soda}"
"259","{sausage,citrus fruit,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water,soda,chocolate,newspapers}"
"260","{root vegetables,whole milk,pet care,detergent}"
"261","{pork,berries,root vegetables,other vegetables,pastry,specialty bar}"
"262","{pork}"
"263","{chocolate}"
"264","{fruit/vegetable juice}"
"265","{pickled vegetables,coffee}"
"266","{bottled water}"
"267","{frankfurter,sausage,butter,whipped/sour cream,rolls/buns,margarine,spices}"
"268","{tropical fruit,pip fruit,onions,other vegetables,whole milk,domestic eggs,sugar,soups,tea,soda,hygiene articles,napkins}"
"269","{canned beer}"
"270","{root vegetables}"
"271","{meat,citrus fruit,berries,root vegetables,whole milk,soda}"
"272","{frankfurter,rolls/buns,bottled water,fruit/vegetable juice,hygiene articles}"
"273","{tropical fruit,margarine,rum}"
"274","{tropical fruit,root vegetables,herbs,whole milk,butter milk,whipped/sour cream,flour,hygiene articles}"
"275","{citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,cream cheese ,domestic eggs,brown bread,margarine,baking powder,waffles}"
"276","{hamburger meat,other vegetables,whole milk,curd,yogurt,rolls/buns,pastry,semi-finished bread,margarine,bottled water,fruit/vegetable juice}"
"277","{chicken,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,rolls/buns,pasta,soda,waffles}"
"278","{chicken,citrus fruit,tropical fruit,root vegetables,whole milk,frozen fish,rolls/buns}"
"279","{frankfurter,citrus fruit,onions,other vegetables,whole milk,rolls/buns,sugar,soda}"
"280","{canned beer}"
"281","{turkey,pip fruit,salad dressing,pastry}"
"282","{packaged fruit/vegetables,whole milk,curd,yogurt,domestic eggs,brown bread,mustard,pickled vegetables,bottled water,misc. beverages}"
"283","{pasta}"
"284","{citrus fruit,tropical fruit}"
"285","{sausage,whole milk,yogurt,rolls/buns,brown bread,pot plants}"
"286","{whole milk,frozen meals,pastry,fruit/vegetable juice,waffles}"
"287","{canned beer}"
"288","{citrus fruit,sugar,sauces}"
"289","{liquor (appetizer)}"
"290","{citrus fruit,other vegetables,rolls/buns,salty snack,shopping bags}"
"291","{sausage}"
"292","{chicken,other vegetables,whole milk,vinegar,oil,bottled water,canned beer,napkins,newspapers}"
"293","{hamburger meat,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese,flour,margarine}"
"294","{sausage,pork,other vegetables,dessert,yogurt,oil,soda}"
"295","{beef,berries,root vegetables,whole milk,whipped/sour cream,abrasive cleaner}"
"296","{citrus fruit,packaged fruit/vegetables,yogurt,bottled water}"
"297","{UHT-milk,coffee}"
"298","{candy}"
"299","{newspapers}"
"300","{beef,citrus fruit,other vegetables,yogurt}"
"301","{sausage,rolls/buns}"
"302","{frankfurter,beef,root vegetables,curd,dessert,yogurt,soft cheese,rolls/buns,mustard,pickled vegetables,canned beer,hygiene articles,napkins}"
"303","{canned beer}"
"304","{bottled beer}"
"305","{onions,soda,chewing gum,chocolate,newspapers}"
"306","{tropical fruit,packaged fruit/vegetables,cream cheese ,white bread,candy}"
"307","{bottled water,white wine}"
"308","{beef,white bread,pastry,pasta,soap}"
"309","{sausage,chicken,tropical fruit,root vegetables,whole milk,yogurt,candy,abrasive cleaner,cleaner}"
"310","{hair spray}"
"311","{chicken,whole milk,spices,long life bakery product,shopping bags}"
"312","{pork,citrus fruit,brown bread,pastry,sugar,cat food}"
"313","{ice cream}"
"314","{meat,hard cheese,bottled beer}"
"315","{other vegetables,yogurt,brown bread,instant coffee}"
"316","{bottled water,cake bar}"
"317","{tropical fruit,soda,salty snack}"
"318","{photo/film}"
"319","{sausage,citrus fruit,yogurt,coffee,soda,canned beer,dishes}"
"320","{grapes,root vegetables}"
"321","{domestic eggs,brown bread,photo/film}"
"322","{rolls/buns,canned fish,canned beer}"
"323","{tropical fruit,whole milk}"
"324","{chicken}"
"325","{frankfurter,other vegetables,yogurt,brown bread,bottled water}"
"326","{berries,root vegetables,other vegetables,curd,butter milk,cream cheese ,roll products ,margarine,misc. beverages,specialty chocolate,detergent}"
"327","{margarine,hygiene articles}"
"328","{tropical fruit,yogurt,rolls/buns,soda,shopping bags}"
"329","{ham,other vegetables,whipped/sour cream,hard cheese,rolls/buns,soda,misc. beverages,chocolate,candy}"
"330","{hamburger meat,white bread,salty snack}"
"331","{yogurt,mayonnaise,rolls/buns,soda,napkins}"
"332","{soda,specialty chocolate}"
"333","{yogurt}"
"334","{soda}"
"335","{bottled water}"
"336","{sausage,meat,hamburger meat,rubbing alcohol}"
"337","{citrus fruit,pip fruit,beverages,hard cheese,pet care,soda,fruit/vegetable juice,waffles}"
"338","{shopping bags}"
"339","{newspapers}"
"340","{frankfurter,other vegetables,whole milk,curd,frozen potato products,zwieback,specialty bar,dish cleaner}"
"341","{sausage,citrus fruit,whole milk,canned beer}"
"342","{frankfurter,rolls/buns}"
"343","{salt,salty snack,cookware}"
"344","{oil}"
"345","{curd,beverages,cream cheese ,rolls/buns,pastry,soda,cake bar,chewing gum}"
"346","{other vegetables,butter,specialty chocolate}"
"347","{citrus fruit}"
"348","{frankfurter,whole milk,butter milk}"
"349","{root vegetables,whole milk,butter,processed cheese,mayonnaise,salty snack}"
"350","{tropical fruit,whole milk,frozen meals,bottled beer}"
"351","{beef,hamburger meat,pip fruit}"
"352","{berries,whipped/sour cream,cereals,waffles,shopping bags}"
"353","{canned beer}"
"354","{whipped/sour cream,canned beer,red/blush wine}"
"355","{root vegetables,domestic eggs,margarine,chocolate marshmallow,candy}"
"356","{whole milk,soda}"
"357","{beef}"
"358","{frozen vegetables}"
"359","{rolls/buns,bottled beer}"
"360","{whole milk,hygiene articles}"
"361","{whole milk}"
"362","{citrus fruit,whole milk,curd,soft cheese}"
"363","{pastry,fruit/vegetable juice}"
"364","{frankfurter,sausage,pork,pip fruit,butter,processed cheese,white bread,brown bread}"
"365","{tropical fruit,root vegetables,whole milk,whipped/sour cream,domestic eggs}"
"366","{frankfurter,sausage,root vegetables,yogurt,whipped/sour cream,pastry,napkins}"
"367","{berries,root vegetables,other vegetables,packaged fruit/vegetables,whole milk,curd,curd cheese,cat food,specialty bar,detergent}"
"368","{rolls/buns,brown bread,pastry,coffee,bottled beer}"
"369","{root vegetables,packaged fruit/vegetables,curd,dessert,frozen vegetables,specialty fat,coffee}"
"370","{yogurt}"
"371","{other vegetables,bottled water}"
"372","{berries,white bread}"
"373","{berries,coffee}"
"374","{other vegetables,butter milk,frozen meals,bottled water}"
"375","{rolls/buns,newspapers}"
"376","{ham,citrus fruit,whole milk,whipped/sour cream,rolls/buns,pastry,waffles,hygiene articles}"
"377","{whole milk,frozen dessert,salty snack,napkins}"
"378","{tropical fruit,butter milk,rolls/buns,bottled water}"
"379","{bottled water}"
"380","{butter milk,yogurt}"
"381","{newspapers}"
"382","{coffee}"
"383","{bottled beer,liquor}"
"384","{onions,butter,whipped/sour cream,hard cheese,frozen vegetables,pasta,specialty fat,syrup,candy,napkins,cling film/bags}"
"385","{hamburger meat,hard cheese,frozen meals,pasta,dog food,salty snack,shopping bags}"
"386","{sausage,liver loaf,other vegetables,cream cheese ,pastry,soap,shopping bags}"
"387","{hard cheese,pastry,napkins}"
"388","{sausage,tropical fruit,condensed milk,rolls/buns}"
"389","{hamburger meat}"
"390","{onions,whole milk,beverages,frozen dessert}"
"391","{coffee}"
"392","{shopping bags}"
"393","{yogurt,rolls/buns,pastry,bottled water,soda,shopping bags}"
"394","{soda}"
"395","{sliced cheese}"
"396","{sausage,whole milk,coffee}"
"397","{yogurt,chocolate}"
"398","{domestic eggs,rolls/buns,dish cleaner,hygiene articles}"
"399","{whole milk}"
"400","{meat,other vegetables,whole milk,whipped/sour cream}"
"401","{dish cleaner,bathroom cleaner,hygiene articles,napkins}"
"402","{other vegetables,red/blush wine}"
"403","{whole milk,butter milk,yogurt,sliced cheese,rolls/buns,sweet spreads,coffee,fruit/vegetable juice,long life bakery product,shopping bags}"
"404","{other vegetables,whole milk,rolls/buns,Instant food products}"
"405","{tropical fruit,other vegetables}"
"406","{baking powder,bottled water,salty snack,chewing gum}"
"407","{specialty bar}"
"408","{ice cream}"
"409","{frankfurter,yogurt}"
"410","{canned beer}"
"411","{bottled water}"
"412","{other vegetables,whole milk,rolls/buns,margarine,bottled water,bottled beer}"
"413","{citrus fruit,tropical fruit,onions,other vegetables,shopping bags}"
"414","{sausage,ham,hamburger meat,whole milk,soda,softener,newspapers}"
"415","{domestic eggs,rolls/buns,specialty bar,napkins}"
"416","{pork,citrus fruit,tropical fruit,root vegetables,other vegetables,curd,hygiene articles}"
"417","{specialty cheese,frozen vegetables,coffee,soda,fruit/vegetable juice,salty snack}"
"418","{pork,citrus fruit,pip fruit,yogurt,fruit/vegetable juice,sparkling wine}"
"419","{beef,berries,whipped/sour cream,domestic eggs,rolls/buns}"
"420","{other vegetables,pet care}"
"421","{chicken,yogurt,sliced cheese,rolls/buns,chewing gum,dishes}"
"422","{soda,chewing gum}"
"423","{whole milk}"
"424","{rolls/buns}"
"425","{bottled beer}"
"426","{root vegetables,pastry,bottled water,male cosmetics}"
"427","{pastry}"
"428","{berries,pet care,cake bar,shopping bags}"
"429","{citrus fruit,tropical fruit,root vegetables,yogurt,canned vegetables,bottled water,soda,softener}"
"430","{whole milk,oil,canned fruit,fruit/vegetable juice}"
"431","{soda,misc. beverages}"
"432","{bottled water,soda}"
"433","{tropical fruit,other vegetables,rolls/buns}"
"434","{salty snack}"
"435","{bottled water,canned beer}"
"436","{chocolate}"
"437","{citrus fruit,UHT-milk,cream cheese ,frozen vegetables}"
"438","{bottled water,canned beer,male cosmetics}"
"439","{onions,other vegetables,pastry,bottled water,soda,napkins}"
"440","{dessert,oil,cat food,soda}"
"441","{beef,other vegetables,whole milk,frozen potato products,rolls/buns,oil,margarine,coffee,dental care,hygiene articles,newspapers}"
"442","{rolls/buns,zwieback,bottled water,misc. beverages,bottled beer,canned beer,brandy}"
"443","{beef,tropical fruit,root vegetables,onions,other vegetables,instant coffee,soda}"
"444","{soda}"
"445","{coffee,hygiene articles}"
"446","{rolls/buns,brown bread,bottled water}"
"447","{pork,beef,hamburger meat,other vegetables,whole milk,frozen vegetables,rolls/buns,margarine,shopping bags}"
"448","{soda,canned beer,liquor (appetizer),hygiene articles,napkins,newspapers}"
"449","{sausage,ham,other vegetables,ice cream,white bread}"
"450","{beef,root vegetables,other vegetables,rolls/buns,sugar}"
"451","{whole milk,butter,bottled water,bottled beer}"
"452","{pork,ice cream,hygiene articles,house keeping products}"
"453","{berries,packaged fruit/vegetables,whole milk,ice cream,fruit/vegetable juice,salty snack,specialty bar}"
"454","{sausage,other vegetables,curd,yogurt,whipped/sour cream,frozen vegetables,rolls/buns,roll products }"
"455","{bottled water,misc. beverages,cling film/bags}"
"456","{tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,hard cheese,frozen dessert,rice,bottled water}"
"457","{herbs,bottled water}"
"458","{yogurt,rolls/buns}"
"459","{Instant food products}"
"460","{specialty chocolate}"
"461","{coffee}"
"462","{bottled beer,liquor}"
"463","{beef,root vegetables}"
"464","{whole milk,honey,waffles}"
"465","{frankfurter,rolls/buns,pastry,snack products,specialty bar}"
"466","{frankfurter,sausage,liver loaf,root vegetables,curd,frozen vegetables,rolls/buns,semi-finished bread,hygiene articles,photo/film}"
"467","{other vegetables,whole milk,cream cheese }"
"468","{frankfurter,root vegetables,pickled vegetables,soda,seasonal products}"
"469","{whole milk,rolls/buns,newspapers}"
"470","{frankfurter,margarine,dental care}"
"471","{other vegetables,salty snack}"
"472","{bottled water,shopping bags}"
"473","{pork,onions,whole milk,butter,rolls/buns,pastry,rum,hygiene articles}"
"474","{bottled water}"
"475","{other vegetables,whipped/sour cream,specialty cheese,domestic eggs}"
"476","{hamburger meat,whole milk,curd,pasta,canned beer}"
"477","{hamburger meat,citrus fruit,other vegetables}"
"478","{shopping bags}"
"479","{whole milk,cream cheese ,soda,fruit/vegetable juice}"
"480","{ice cream}"
"481","{pastry,bottled water}"
"482","{ham,pip fruit,whole milk,curd,dessert,butter milk,whipped/sour cream,sliced cheese,cream cheese ,white bread,coffee,long life bakery product,chocolate,baby cosmetics}"
"483","{frankfurter,soda}"
"484","{sausage,turkey,beef,root vegetables,domestic eggs,rolls/buns,flour,rice,organic products,misc. beverages,napkins}"
"485","{bottled beer}"
"486","{bottled water,bottled beer,napkins}"
"487","{meat,other vegetables,hard cheese,frozen meals,bottled water,soda}"
"488","{dessert,candy}"
"489","{other vegetables,packaged fruit/vegetables,UHT-milk,bottled water}"
"490","{beverages,rolls/buns,soda}"
"491","{ham,mustard,canned fish}"
"492","{specialty bar}"
"493","{brown bread,soda,salty snack,shopping bags}"
"494","{whole milk,cream cheese ,coffee}"
"495","{rolls/buns,pastry,red/blush wine}"
"496","{bottled beer,nut snack}"
"497","{pet care,bottled beer}"
"498","{citrus fruit,other vegetables,soda}"
"499","{pork,other vegetables,frozen vegetables,hygiene articles}"
